"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 29 05:43:43 UTC 2025","Sun Jun 29 05:43:45 UTC 2025","2277","DemoQA Suite","All DemoQA Tests","demoqa.tests.DroppableTest","demoqa.tests.DroppableTest","testDragAndDropWorks","testDragAndDropWorks",""
"passed","Sun Jun 29 05:43:07 UTC 2025","Sun Jun 29 05:43:18 UTC 2025","11835","DemoQA Suite","All DemoQA Tests","demoqa.tests.TextBoxTest","demoqa.tests.TextBoxTest","testFillTextBoxForm","testFillTextBoxForm",""
"passed","Sun Jun 29 05:43:39 UTC 2025","Sun Jun 29 05:43:43 UTC 2025","3917","DemoQA Suite","All DemoQA Tests","demoqa.tests.ResizableTest","demoqa.tests.ResizableTest","testResizableBox","testResizableBox",""
"passed","Sun Jun 29 05:43:25 UTC 2025","Sun Jun 29 05:43:25 UTC 2025","191","DemoQA Suite","All DemoQA Tests","demoqa.tests.CheckBoxTest","demoqa.tests.CheckBoxTest","testExpandAllAndVerifyVisibleOptions","testExpandAllAndVerifyVisibleOptions",""
"passed","Sun Jun 29 05:43:28 UTC 2025","Sun Jun 29 05:43:29 UTC 2025","205","DemoQA Suite","All DemoQA Tests","demoqa.tests.CheckBoxTest","demoqa.tests.CheckBoxTest","testSelectDocumentsCheckbox","testSelectDocumentsCheckbox",""
"passed","Sun Jun 29 05:43:26 UTC 2025","Sun Jun 29 05:43:27 UTC 2025","160","DemoQA Suite","All DemoQA Tests","demoqa.tests.CheckBoxTest","demoqa.tests.CheckBoxTest","testSelectDesktopCheckbox","testSelectDesktopCheckbox",""
"passed","Sun Jun 29 05:43:21 UTC 2025","Sun Jun 29 05:43:23 UTC 2025","1728","DemoQA Suite","All DemoQA Tests","demoqa.tests.CheckBoxTest","demoqa.tests.CheckBoxTest","testCheckNotesBox","testCheckNotesBox",""
"passed","Sun Jun 29 05:43:31 UTC 2025","Sun Jun 29 05:43:31 UTC 2025","145","DemoQA Suite","All DemoQA Tests","demoqa.tests.CheckBoxTest","demoqa.tests.CheckBoxTest","testSelectHomeCheckbox","testSelectHomeCheckbox",""
"passed","Sun Jun 29 05:43:33 UTC 2025","Sun Jun 29 05:43:33 UTC 2025","404","DemoQA Suite","All DemoQA Tests","demoqa.tests.CheckBoxTest","demoqa.tests.CheckBoxTest","testSelectMultipleCheckboxes","testSelectMultipleCheckboxes",""
"passed","Sun Jun 29 05:43:45 UTC 2025","Sun Jun 29 05:43:48 UTC 2025","3247","DemoQA Suite","All DemoQA Tests","demoqa.tests.SortableTest","demoqa.tests.SortableTest","testSortableListOrderChanges","testSortableListOrderChanges",""
"passed","Sun Jun 29 05:43:33 UTC 2025","Sun Jun 29 05:43:37 UTC 2025","3298","DemoQA Suite","All DemoQA Tests","demoqa.tests.DraggableTest","demoqa.tests.DraggableTest","testBasicDraggable","testBasicDraggable",""
"passed","Sun Jun 29 05:43:37 UTC 2025","Sun Jun 29 05:43:39 UTC 2025","2146","DemoQA Suite","All DemoQA Tests","demoqa.tests.SelectableTest","demoqa.tests.SelectableTest","testSelectableList","testSelectableList",""
